7.867813110351562e-06,4.94,113.76
0.5100235939025879,3.79,87.12
1.020559549331665,4.7,108.36
1.5298612117767334,4.79,110.52
2.04018235206604,4.53,104.4
2.5495917797088623,3.93,90.36
3.06040620803833,3.49,80.28
3.573223114013672,2.81,64.8
4.09018874168396,2.42,64.8
4.103113412857056,1.78,44.28
4.613454341888428,1.73,43.2
5.123125791549683,1.52,37.8
5.63350772857666,1.37,34.2
6.1431567668914795,1.33,33.12
6.6534998416900635,1.06,26.28
7.163198471069336,1.08,26.64
7.673685789108276,1.03,25.56
8.182938814163208,3.98,91.8
8.693993091583252,4.94,113.76
9.20527696609497,4.79,110.52
9.717536687850952,3.95,91.08
10.229138374328613,3.05,70.2
10.740351915359497,1.95,48.6
11.25431776046753,0.34,8.28
11.763479471206665,0.83,20.52
12.273517847061157,2.81,64.8
12.782819747924805,4.92,113.4
13.293123960494995,4.75,109.44
13.802825927734375,2.89,66.6
14.314436912536621,2.28,56.88
14.825451374053955,0.16,3.96
15.337953805923462,0.98,24.48
15.850985765457153,4.49,103.32
16.362590312957764,4.86,111.96
16.874752521514893,4.61,106.2
17.386277198791504,3.73,86.04
17.897364139556885,2.89,66.6
18.407611846923828,1.68,41.76
18.918014526367188,0.0,-0.0
19.427908420562744,0.9,22.32
19.938202142715454,4.31,99.36
20.448252201080322,4.87,112.32
20.9584743976593,4.73,109.08
21.468502521514893,2.85,65.52
21.980217933654785,2.58,65.52
21.993123531341553,1.89,47.16
22.503735542297363,0.77,19.08
23.0136456489563,0.51,12.6
23.525097370147705,2.18,54.36
24.03636384010315,4.88,112.32
24.546584129333496,4.7,108.36
25.05717158317566,3.44,79.2
25.56775689125061,1.61,39.96
26.07954430580139,0.08,1.8
26.590168952941895,0.89,21.96
27.101539611816406,4.08,93.96
27.611356496810913,4.87,112.32
28.122204303741455,4.69,108.0
28.631999492645264,2.79,64.08
29.144137620925903,2.16,54.0
29.655171632766724,0.0,-0.0
30.165814638137817,0.86,21.24
30.676117181777954,4.38,100.8
31.18598246574402,4.86,111.96
31.696345567703247,4.55,104.76
32.206512451171875,3.48,80.28
32.71792221069336,2.26,56.16
33.22854423522949,0.38,9.36
33.73932933807373,0.7,17.28
34.249764919281006,3.32,76.32
34.761637926101685,4.94,113.76
35.27200937271118,4.77,109.8
35.78266382217407,2.63,60.48
36.293328285217285,1.58,39.24
36.80535912513733,0.12,2.88
37.31594753265381,0.79,19.44
37.828298807144165,4.51,104.04
38.33846688270569,4.8,110.52
38.84793019294739,4.22,97.2
39.35871911048889,3.23,74.52
39.869364976882935,2.11,52.56
40.379735708236694,0.33,7.92
40.889201164245605,0.66,16.2
41.399537563323975,3.24,74.52
41.909037590026855,4.93,113.76
42.4208025932312,4.72,108.72
42.93081092834473,3.4,78.12
43.4420108795166,1.22,30.24
43.95408248901367,0.15,3.6
44.46437311172485,0.81,20.16
44.974881410598755,2.53,20.16
44.99023699760437,3.62,83.52
45.50226545333862,4.92,113.4
46.013407945632935,4.69,108.0
46.52451729774475,3.37,77.76
47.03562259674072,1.6,39.96
47.54792666435242,0.1,2.16
48.06036376953125,0.81,20.16
48.578450441360474,3.01,69.12
49.0905556678772,4.94,113.76
49.60197925567627,4.77,109.8
50.11207914352417,2.55,109.8
50.1247501373291,1.99,49.68
50.63526391983032,1.73,43.2
51.14522647857666,0.08,1.8
51.65624952316284,0.81,20.16
52.16605019569397,3.93,90.36
52.67718434333801,4.94,113.76
53.18744134902954,4.77,109.8
53.69944143295288,2.71,62.28
54.21128749847412,1.45,36.0
54.72281885147095,0.07,1.44
55.23422837257385,0.9,22.32
55.74397301673889,4.18,96.12
56.25437140464783,4.91,113.04
56.764272928237915,4.71,108.36
57.27466559410095,2.63,60.48
57.78473734855652,1.76,43.92
58.295125007629395,0.07,1.44
58.80499076843262,0.7,17.28
59.31546354293823,2.87,65.88
59.825528383255005,4.95,114.12
60.335782051086426,4.73,109.08
60.84539532661438,3.44,79.2
61.35632300376892,1.42,35.28
61.86787796020508,0.11,2.52
62.38004159927368,0.73,18.0
62.89128613471985,2.56,18.0
62.90703058242798,2.85,65.52
63.41823744773865,4.95,114.12
63.927963733673096,4.77,109.8
64.43873691558838,3.42,78.84
64.94847011566162,1.31,32.4
65.45901465415955,0.21,5.04
65.96910381317139,0.72,18.0
66.48053002357483,3.07,70.56
66.99212121963501,4.94,113.76
67.50357246398926,4.74,109.08
68.01584982872009,3.52,81.0
68.52734708786011,1.77,43.92
69.03791666030884,0.07,1.44
69.5482976436615,0.45,11.16
70.05913710594177,2.92,67.32
70.56938672065735,4.94,113.76
71.07948112487793,4.77,109.8
71.58964896202087,2.73,63.0
72.10016989707947,1.42,35.28
72.61034297943115,0.07,1.44
73.12324738502502,0.91,22.68
73.63484025001526,4.48,103.32
74.1466236114502,4.85,111.6
74.65919256210327,4.26,98.28
75.16996598243713,2.99,68.76
75.68060517311096,1.02,25.2
76.191397190094,0.26,6.48
76.7016441822052,1.43,35.64
77.21197056770325,4.51,104.04
77.72236037254333,4.84,111.6
78.23303580284119,4.38,100.8
78.74303388595581,3.14,72.36
79.25457191467285,1.0,24.84
79.76390981674194,0.34,8.28
80.27678275108337,1.31,32.4
80.78797316551208,3.15,72.36
81.29909110069275,4.94,113.76
81.81180953979492,4.79,110.52
82.32213282585144,2.69,61.92
82.8320779800415,1.5,37.44
83.34205508232117,0.07,1.44
83.85212326049805,0.56,13.68
84.3629059791565,3.27,75.24
84.87319731712341,4.95,114.12
85.38367962837219,0.0,-0.0
85.89778852462769,4.13,95.04
